E_NA1,E_MG1,E_AL1,E_CA1,E_SC1,E_SC2,E_TI1,E_V1,E_CR1,E_CR2,E_FE1,E_FE2,E_CO1,E_NI1,E_Y2,E_FEH
,,,,,,,,,,0.3,0.44,,,,0.0
0.0,0.05,0.02,0.02,0.13,0.04,0.01,0.06,0.01,0.03,0.04,0.03,0.0,0.01,0.04,0.013176247
,,,,,,,,,,0.15,0.32,,,0.0,0.0
0.01,0.01,0.15,0.0,,0.01,0.03,0.08,0.04,,0.01,0.06,,0.0,0.09,3.376143e-08
,,,,,,,,,,0.2,0.17,,,0.0,0.0
,,,,,,,,,,,,,,0.0,0.0
,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0
,,,,,,,,,,0.12,0.17,,,0.0,0.084316805
0.04,0.03,0.03,0.01,0.04,0.04,0.01,0.07,0.02,0.07,0.04,0.02,0.03,0.0,0.1,0.018308658
,,,,,,,,,,,,,,0.0,0.0
0.05,0.03,0.05,0.01,,0.02,0.07,,0.02,0.0,0.0,0.06,,0.02,0.05,0.08283025
0.0,0.01,0.01,0.01,0.04,0.04,0.01,0.26,0.03,0.0,0.0,0.01,0.01,0.02,0.04,0.02190718
0.01,0.01,0.07,0.01,0.06,0.06,0.0,0.11,0.0,0.0,0.03,0.04,0.06,0.0,0.01,0.023199268
0.03,0.01,0.01,0.01,0.04,0.03,0.03,0.15,0.02,0.0,0.04,0.01,0.08,0.01,0.11,0.012865415
0.01,0.01,0.02,0.01,0.04,0.04,0.03,0.01,0.01,0.0,0.04,0.02,0.06,0.03,0.08,0.012257631
0.03,0.14,,0.02,,0.13,0.01,,0.01,,0.0,0.0,0.05,0.08,0.01,0.010110321
0.11,0.01,,0.01,,0.05,0.01,,0.08,,0.0,0.0,,0.06,0.2,0.028264286
0.04,0.03,0.0,0.03,0.06,0.07,0.01,0.05,0.0,0.07,0.04,0.02,0.01,0.02,0.06,0.014804541
0.11,0.01,,0.06,0.04,0.09,0.01,0.09,0.07,0.0,0.0,0.0,0.13,0.08,0.04,0.023328245
0.02,0.02,0.02,0.02,,0.03,0.01,0.19,0.02,0.0,0.04,0.0,0.08,0.02,0.11,0.00896553
,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,,,,0.0
,,,,,,,,,,0.21,0.23,,,,0.0
0.28,0.22,0.16,0.66,0.16,0.3,0.2,0.15,0.34,0.3,0.16,0.16,0.17,0.31,0.23,0.11481182
0.3,0.23,0.14,0.7,0.12,0.32,0.19,0.15,0.38,0.34,0.16,0.17,0.16,0.3,0.21,0.11578474
0.25,0.21,0.14,0.62,0.14,0.25,0.2,0.16,0.35,0.42,0.17,0.11,0.2,0.3,0.17,0.1131379
0.26,0.22,0.21,0.68,0.16,0.3,0.16,0.16,0.36,0.3,0.16,0.14,0.17,0.34,0.21,0.11526815
0.26,0.21,0.15,0.62,0.13,0.27,0.21,0.16,0.35,0.27,0.16,0.17,0.17,0.33,0.22,0.11624475
0.16,0.21,0.15,0.4,,0.21,0.25,0.33,0.33,0.25,0.17,0.17,0.24,0.23,0.26,0.06389934
0.08,0.06,0.05,0.19,0.09,0.15,0.15,0.13,0.24,0.28,0.13,0.14,0.1,0.19,0.14,0.08604858
0.09,0.09,0.07,0.01,0.11,0.14,0.17,0.14,0.24,0.02,0.15,0.18,0.12,0.17,0.2,0.11550632
0.43,0.04,0.01,0.28,0.1,0.08,0.15,0.21,0.21,0.51,0.17,0.18,0.17,0.25,0.23,0.14469013
0.04,0.02,0.05,0.02,0.01,0.0,0.05,0.04,0.01,0.14,0.01,0.04,0.01,0.04,0.04,0.057199374
,,,,,,0.08,,,,,,,0.59,,0.0
0.17,0.02,0.01,0.05,0.14,0.21,0.11,0.03,0.16,0.17,0.0,0.0,0.04,0.06,0.0,0.028264286
0.15,0.22,0.19,0.25,0.37,0.28,0.27,0.16,0.35,0.34,,,0.3,0.37,,0.0
0.14,0.21,0.05,0.06,0.05,0.08,0.14,0.06,0.14,0.29,0.0,0.0,0.01,0.07,0.0,0.060027603
