E_HE1,E_LI1,E_C1,E_C2,E_C3,E_N2,E_N3,E_O1,E_O2,E_NE1,E_NE2,E_NA1,E_MG1,E_MG2,E_AL1,E_AL2,E_AL3,E_SI1,E_SI2,E_SI3,E_SI4,E_S1,E_S2,E_S3,E_CA1,E_CA2,E_SC1,E_SC2,E_TI1,E_TI2,E_V1,E_V2,E_CR1,E_CR2,E_MN1,E_FE1,E_FE2,E_FE3,E_CO1,E_NI1,E_CU1,E_ZN1,E_SR1,E_Y1,E_Y2,E_ZR1,E_ZR2,E_NB1,E_MO1,E_RU1,E_BA2,E_LA2,E_CE2,E_PR2,E_ND2,E_SM2,E_EU2,E_GD2,E_DY2,E_VEIL,E_FEH
,0.39839596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.44,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0
,,0.01,,,,,0.03,,,,0.0,0.05,,0.02,,,0.04,0.03,,,,,,0.02,,0.13,0.04,0.01,0.01,0.06,,0.01,0.03,0.05,0.04,0.03,,0.0,0.01,0.07,0.03,,,0.04,,0.05,,,,0.04,0.0,0.0,,0.09,,,,,,0.013176247
,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.32,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
,0.12017279,,,,,,,,,,0.01,0.01,,0.15,,,0.05,,,,,,,0.0,,,0.01,0.03,0.03,0.08,,0.04,,,0.01,0.06,,,0.0,,,,,0.09,,,,,,0.06,0.0,,,,,,,,,3.376143e-08
,0.1296319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.17,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0
,0.40852696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0
,0.37781796,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0
,0.19029622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.17,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.084316805
,0.1096246,0.05,,,,,,,,,0.04,0.03,,0.03,,,0.0,0.06,,,,,,0.01,,0.04,0.04,0.01,0.03,0.07,,0.02,0.07,0.02,0.04,0.02,,0.03,0.0,0.03,0.03,,,0.1,,0.05,,,,0.01,0.0,0.0,,0.02,,,,,,0.018308658
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0
,0.18324712,,,,,,,,,,0.05,0.03,,0.05,,,0.01,,,,,,,0.01,,,0.02,0.07,0.0,,,0.02,0.0,,0.0,0.06,,,0.02,,,,,0.05,,,,,,0.0,0.0,,,,,,,,,0.08283025
,0.09,0.04,,,,,,,,,0.0,0.01,,0.01,,,0.01,0.11,,,0.0,,,0.01,0.11,0.04,0.04,0.01,0.01,0.26,,0.03,0.0,0.03,0.0,0.01,,0.01,0.02,0.08,0.02,,,0.04,,0.04,,,,0.05,0.0,0.0,,0.21,,,,,,0.02190718
,0.41955012,0.07,,,,,,,,,0.01,0.01,,0.07,,,0.01,0.04,,,,,,0.01,0.08,0.06,0.06,0.0,0.04,0.11,,0.0,0.0,0.06,0.03,0.04,,0.06,0.0,0.07,0.03,,,0.01,,0.06,,,,0.01,0.0,0.0,,0.13,,,,,,0.023199268
,0.08949958,0.02,,,,,0.02,,,,0.03,0.01,,0.01,,,0.03,0.08,,,0.0,,,0.01,0.09,0.04,0.03,0.03,0.01,0.15,,0.02,0.0,0.06,0.04,0.01,,0.08,0.01,0.05,0.02,,,0.11,,0.04,,,,0.04,0.0,0.0,,0.17,,,,,,0.012865415
,0.18296349,0.1,,,,,0.03,,,,0.01,0.01,,0.02,,,0.02,0.05,,,,,,0.01,0.02,0.04,0.04,0.03,0.03,0.01,,0.01,0.0,0.03,0.04,0.02,,0.06,0.03,0.04,0.03,,,0.08,,0.05,,,,0.06,0.0,0.0,,0.05,,,,,,0.012257631
,0.20627417,,,,,,,,,,0.03,0.14,,,,,0.0,,,,,,,0.02,,,0.13,0.01,0.13,,,0.01,,,0.0,0.0,,0.05,0.08,,,,,0.01,,,,,,0.1,0.0,0.0,,,,,,,,0.010110321
,0.0844738,,,,,,,,,,0.11,0.01,,,,,0.04,,,,,,,0.01,,,0.05,0.01,0.07,,,0.08,,,0.0,0.0,,,0.06,,,,,0.2,,,,,,0.08,0.0,,,,,,,,,0.028264286
